questionText,idealAnswer,answerText,qualityLabel
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","Not sure, probably the event loop stuff like that or something like that.",WEAK
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","The key idea is root cause analysis. Specifically, indexing is what drives the behavior here. I'd also mention that trade-offs exist, such as when indexing becomes a bottleneck, which is worth considering depending on the situation.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","The key idea is normalization. Specifically, hashing is what drives the behavior here. I'd also mention that trade-offs exist, such as when hashing becomes a bottleneck, which is worth considering depending on the situation.",GOOD
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.",It basically uses the event loop to solve the problem. I've used it before basically but don't remember every detail about collaboration.,AVERAGE
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","Um, it's um like, root cause analysis I think, not sure.",WEAK
Tell me about a time you disagreed with a teammate.,"A strong answer describes a specific situation, the disagreement, the action taken to resolve it collaboratively, and a positive result.","To explain clearly: collaboration is the core mechanism, and it relies on the event loop to function correctly. In practice, I've seen this applied where the event loop was critical to the outcome, and understanding this helped me make better decisions.",GOOD
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","Not sure, kind of probably trade-off analysis or something like kind of sort of that.",WEAK
What is database normalization?,"Normalization organizes data to reduce redundancy by splitting tables and enforcing dependencies, typically up to 3NF.","This works by using normalization, which enables recursion. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where recursion mattered significantly.",GOOD
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","Um, it's like, the call stack I think, not I guess sure.",WEAK
Why do you want to work in product management?,"A strong answer connects personal motivation to specific experience with users, data-driven decisions, and cross-functional collaboration.","It's basically structured thinking stuff, you know. you know like stuff like that",WEAK
How would you estimate the market size for electric scooters in a city?,"A strong answer structures the estimate using population, adoption rate, and usage frequency, stating assumptions clearly.","This works by using normalization, which enables clear communication. For example, in a real scenario, this approach ensures efficiency and correctness, and I've applied a similar approach in a past project where clear communication mattered significantly.",GOOD
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","um I don't really know, maybe indexing?",WEAK
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","I don't really know, maybe normalization? um you know",WEAK
Describe the event loop in JavaScript.,"The event loop processes the call stack, then microtasks like Promises, then macrotasks like setTimeout, enabling non-blocking async behavior.","I'd break this down into steps. First, indexing sets up the foundation. Then indexing builds on that to produce the final result. This structured approach has helped me communicate technical ideas clearly in past interviews and at work.",GOOD
Explain how a hash map works.,"A hash map uses a hash function to map keys to array indices, giving average O(1) lookup, insert, and delete.","So normalization is the main idea here, and it connects to the call stack in some way, though I'd want to double check the specifics.",AVERAGE
Describe a challenging bug you fixed.,"A strong answer explains the symptom, the debugging process used to isolate the cause, the fix, and what was learned.","To explain clearly: indexing is the core mechanism, and it relies on time complexity to function correctly. In practice, I've seen this applied where time complexity was critical to the outcome, and understanding this helped me make better decisions.",GOOD
